name,angular,artistic,attention-grabbing,attractive,bad,boring,calm,capitals,charming,clumsy,complex,cursive,delicate,disorderly,display,dramatic,formal,fresh,friendly,gentle,graceful,happy,italic,legible,modern,monospace,playful,pretentious,serif,sharp,sloppy,soft,strong,technical,thin,warm,wide
Lato-Italic,43.64,35.86,43.37,66.11,23.87,34.16,86.15,0,73.18,24.66,19.47,4.23,45.66,25.79,6.24,34.21,73.75,93.91,82.01,91.63,72.63,54.66,91.73,86.72,40.93,0,30.95,28.59,9.73,80.44,51.45,84.83,53.6,23.18,55.1,74.53,41.7
Ubuntu-Italic,72.65,44.04,46.41,64.86,24.47,28.04,79.27,0,70.16,32.4,22.28,4.48,46.09,36.11,6.24,51.07,65.19,92.33,80.14,89.43,71.13,56.76,91.73,91.12,48.21,0,36.04,28.39,9.77,78.9,50.23,82.74,49.53,28.18,50.72,58.39,53.14
TitilliumWeb-Black,16.31,25.17,68.85,33.79,72.81,65.76,47.44,0,53.41,45.84,51.26,4.3,9.93,36.09,6.16,38.8,58.01,73.75,35.35,75.1,53.8,30.73,9.32,42.82,40.35,0,27.89,59.17,9.5,42.12,6.72,36.07,76.69,41.05,10.49,60.22,57.45
Arvo-Italic,86.86,51.59,55.03,75.69,31.07,23.64,74.82,0,73.24,30.18,37.27,4.23,43.82,23.75,6.05,42.38,70.44,93.53,75.94,89.13,71.92,56.11,91.73,89.19,54.54,0,50.53,42.95,81.78,92.56,50.03,68.01,60.36,69.44,41.58,73.65,59.73
Buenard-Bold,27.96,32.08,63.67,78.6,4.4,27.04,70.62,0,73.1,13.51,32.87,4.21,36.88,10.45,6.04,33.69,86.54,93.97,72.42,94.42,75.85,56.84,9.34,88.49,43.5,0,32.6,57.05,87.24,82.72,23.18,66.1,65.21,46.02,36.12,78.64,49.12
GFSDidot-Regular,10.33,29.06,27.38,56.23,7.06,43.69,86.44,0,66.93,5.2,14.86,4.24,50.53,12.48,6.04,20.21,95.7,93.84,83.27,97.66,68.4,52.55,9.35,90.39,29.96,0,17.17,10.4,88.16,92.35,22.8,87.71,49.02,37.35,62.41,58.59,46.98
Merriweather,36.64,22.82,45.91,61.84,12.69,40.36,83.08,0,67.66,10.79,31,4.24,38.33,13.51,6.04,28.02,91.37,91.57,76.52,95.89,66.57,52.24,9.35,92.51,39.24,0,21.03,39.61,87.12,79.26,15.72,74.89,64.15,48.38,50.81,56.97,57.75
Palatino-Roman,38.07,19.65,29.58,47.58,12.52,41,87.82,0,69.67,10.37,29.4,4.24,40.96,15.94,6.04,26.86,91.87,89.74,83.51,93.97,65.64,35.74,9.34,93.26,41.73,0,20.73,19.4,86.82,91.38,19.8,80.41,48.15,40,61.8,64.62,45.32
Arimo-BoldItalic,51.68,34.05,58.95,68.77,22.69,24.95,74.08,0,72.63,26.21,35.06,4.38,38.85,26.48,5.93,40.66,63.78,93.68,77.41,85.96,73.71,57.62,91.73,96.05,54,0,28.29,51.32,11.06,61.58,45.92,62.37,71.84,40.56,30.09,81.97,58.75
Lato-BlackItalic,51.13,44.97,65.34,76.78,29.01,34.06,69.64,0,75.38,37.69,31.13,4.23,35.38,23.42,5.93,47.71,62.65,89.41,73.16,84.57,70.45,56.32,91.73,93.73,50.28,0,34.37,50.97,9.63,59.11,45.19,53.69,70.54,50.07,23.27,90.68,55.13
Lato-BoldItalic,42.86,43.8,57.69,74.74,23.43,29.11,76.05,0,73.59,32.14,29.25,4.23,41.89,24.97,5.93,40.79,72.58,94.03,83.15,91.44,72.55,55.34,91.73,91.64,48.44,0,31.34,45.99,9.63,76.19,46.04,64.22,63.93,36.53,34.76,91.84,47.25
PlayfairDisplay-Black,28.91,41.67,70.43,81.83,34.85,39.77,51.41,0,72.75,30.49,51.09,4.24,29.46,17.27,5.91,57.36,74.6,86.89,67.15,92.02,70.42,43.73,9.36,85.42,63.65,0,23.61,64.1,87.86,67.3,23.72,45.27,82.41,71.41,18.26,78.04,65.6
Overlock-Italic,51.87,45.29,40.31,55.11,24.67,30.62,92.53,0,76.69,25.42,32.02,4.35,49.96,29.13,5.89,46.24,69.89,86.02,87.19,93.72,72.86,50.2,91.5,77.08,56.14,0,50.42,26.27,9.05,76.69,51.58,97.42,36.49,52.96,68.64,57.01,39.59
OpenSans-CondensedLight,21.35,19.31,9.21,17.06,27.05,83.88,96.22,0,43.8,22.72,15.19,4.3,47.97,16.51,5.78,16.02,84.75,71.11,74.23,91.08,46.86,27.59,9.32,76,26.75,0,25.09,6,9.23,76.94,31.74,94.81,28.67,30.01,75.35,18.64,24.97
Tuffy-BoldItalic,59.29,53.19,65.14,77.39,27.03,26.31,73.79,0,70.5,30.06,37.83,4.23,42.33,33.11,5.77,37.24,60.38,88.63,81.81,88.48,70.67,63.59,91.73,90.74,52.47,0,38.28,45.62,10.92,63.07,47.13,60.89,64.49,44.77,35.72,81.46,51.06
Arvo-BoldItalic,71.07,57.18,66.98,79.72,40,42.89,51.81,0,65.91,52.85,61.57,5.33,32,45.6,5.71,59.88,57.24,81.27,65.52,80.48,72.08,45.26,91.73,82.47,57.61,0,46.49,57.1,84,55.69,60.09,46.35,81.48,67.33,17.86,73.18,62
Roboto-Light,22.21,4.21,14.18,30.76,15.75,70.79,94.54,0,50.2,3.01,0,4.3,48.57,12.02,5.55,6.94,80.86,87.19,68.56,91.26,39.99,35.32,9.34,86.78,15.71,0,7.85,8.97,10.2,77.69,14.84,92.27,33.73,0.68,77.65,50.37,48.24
Bevan,32.17,42.79,62.14,62.79,32.95,65.22,55.44,0,51.96,42.89,50.89,3.78,18.99,33.06,5.46,48.43,57.37,80.17,62.13,74.76,49.04,34.49,9.34,72.59,37.94,0,30.28,56.74,82.83,52.7,20.82,51.13,93.73,53.86,18.78,73.96,66.42
RobotoCondensed-Light,4.87,14.21,15.17,37.13,23.21,68.99,99.97,0,48.67,6.13,5.21,4.3,47.61,18.53,5.38,0,84.82,83.88,64.67,92.48,46.54,23.42,9.32,82.83,24.17,0,6.42,9.43,10.36,77.71,19.56,91.63,34.03,19.84,76.14,38.04,32.29
IstokWeb-Bold,0,18.6,59.34,58.07,17.16,47.37,71.85,0,61.46,10.95,16.39,4.3,31.71,13.96,5.34,28.94,79.86,88.82,76.06,87.86,65.48,43.86,9.32,100,37.24,0,21.11,30.09,9.51,58.86,12.46,61.6,74.7,29.18,27.31,79.54,53.57
Neuton-Light,24.69,26.99,24.15,38.78,8.96,57.61,91.75,0,58.38,5.3,23.56,4.24,50.05,9.68,5.01,18.07,87.95,87.67,76.73,96.99,58.26,41.48,9.35,83.7,33.06,0,21.7,22.92,87.8,84.29,22.42,91.71,39.92,25.99,72.78,43.61,42.72
